Date, Close/Last, Volume, Open, High, Low
01/14/2020, $537.92, 29061380, $544.255, $547.41, $524.9
01/13/2020, $524.86, 26634550, $493.5, $525.63, $492
01/10/2020, $478.15, 12976830, $481.79, $484.94, $473.7
01/09/2020, $481.34, 28463190, $497.1, $498.8, $472.87
01/08/2020, $492.14, 31199390, $473.7, $498.49, $468.23
01/07/2020, $469.06, 18209140, $461.4, $471.63, $453.355
01/06/2020, $451.54, 10157500, $440.47, $451.56, $440
01/03/2020, $443.01, 17794700, $440.5, $454, $436.92
01/02/2020, $430.26, 9558386, $424.5, $430.6957, $421.71
12/31/2019, $418.33, 10292460, $405, $421.29, $402.08
12/30/2019, $414.7, 12601270, $428.79, $429, $409.2589
12/27/2019, $430.38, 9956827, $435, $435.31, $426.11
12/26/2019, $430.94, 10648290, $427.91, $433.48, $426.35
12/24/2019, $425.25, 8054720, $418.36, $425.47, $412.6875
12/23/2019, $419.22, 13332820, $411.78, $422.01, $410
12/20/2019, $405.59, 14785210, $410.29, $413, $400.185
12/19/2019, $404.04, 18120310, $397.32, $406.85, $396.5
12/18/2019, $393.15, 14136390, $380.63, $395.22, $380.58
12/17/2019, $378.99, 8503775, $378.99, $385.5, $375.9
12/16/2019, $381.5, 18220940, $362.55, $383.61, $362.5
